formula,T(K),k(W/mK),composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
Tl2SnTe5,300,6.75,Tl2 Sn1 Te5,50,81,31,59,11,52,76,90,14,85.25,5.9375,90,118.71,204.3833,85.6733,145.684575,29.3493625,127.6,505.08,722.66,217.58,659.0475,79.515625,722.66,13,16,3,15,1.25,16,5,6,1,5.25,0.375,5,138,145,7,139.875,2.5625,138,1.62,2.1,0.48,1.9625,0.171875,2.1,2,2,0,2,0,2,1,4,3,3,1.25,4,10,10,0,10,0,10,0,14,14,3.5,5.25,0,14,27,13,18.5,4.25,16,0,0,0,0,0,0,2,5,3,3,1.25,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3,1.25,2,26.91,34.76333333,7.853333333,32.61520833,2.852604167,34.76333333,0,0.464,0.464,0.29,0.2175,0.464,0,0,0,0,0,0,141,194,53,161.125,16.4375,152
In0.1Co4Sb12,300,2.188,In0.1 Co4 Sb12,27,51,24,45.02484472,8.956444582,51,58,85,27,78.22981366,10.09220323,85,58.933195,121.76,62.826805,106.1077379,23.44076665,121.76,429.75,1768,1338.25,1115.548758,324.199375,903.78,9,15,6,13.49689441,2.240654296,15,4,5,1,4.751552795,0.373442383,5,126,142,16,135.7888199,4.864009876,139,1.78,2.05,0.27,2.006086957,0.065460437,2.05,2,2,0,2,0,2,0,3,3,2.242236025,1.12958605,3,7,10,3,9.254658385,1.120327148,10,0,0,0,0,0,0,9,15,6,13.49689441,2.240654296,15,0,0,0,0,0,0,0,5,5,2.267080745,1.126499749,3,0,3,3,0.745341615,1.120327148,0,0,0,0,0,0,0,3,5,2,3.01242236,0.024690405,3,10.245,31.56,21.315,26.21900621,7.961729872,31.56,0,0,0,0,0,0,0,1.5484712,1.5484712,0.384713342,0.578264774,0,139,194,55,172.7888199,10.53971683,166
CaMnO3,300,3.562,Ca1 Mn1 O3,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938045,38.938645,28.602849,15.1241388,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.11451724,9.062193103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,95.6,100.32,12
In1.94Ge0.06O3,300,8.868,In1.94 Ge0.06 O3,8,49,41,24.196,19.4352,8,75,87,12,82.248,5.7024,87,15.9994,114.818,98.8186,55.020704,46.8255648,15.9994,54.8,1211.4,1156.6,214.1598,191.23176,54.8,13,16,3,14.812,1.4256,16,2,5,3,3.188,1.4256,2,66,142,76,96.136,36.1632,66,1.78,3.44,1.66,2.77876,0.793488,3.44,2,2,0,2,0,2,1,4,3,2.812,1.4256,4,0,10,10,4,4.8,0,0,0,0,0,0,0,6,14,8,8.812,3.3744,6,0,0,0,0,0,0,2,5,3,3.188,1.4256,2,0,0,0,0,0,0,0,0,0,0,0,0,2,5,3,3.188,1.4256,2,9.105,24.26,15.155,15.15194,7.256328,9.105,0,0.383,0.383,0.004596,0.009081696,0,0,0,0,0,0,0,12,225,213,63.832,62.1984,12
Zr0.95Nb0.05NiSn,700,6.668,Zr0.95 Nb0.05 Ni1 Sn1,28,50,22,39.35,7.566666667,28,44,80,36,61.71666667,12.18888889,61,58.6934,118.71,60.0166,89.57050633,20.58473756,58.6934,505.08,2750,2244.92,1464.06,639.32,505.08,4,14,10,9.35,3.533333333,10,4,5,1,4.666666667,0.444444444,4,124,175,51,145.8166667,19.08888889,124,1.33,1.96,0.63,1.737833333,0.262888889,1.91,1,2,1,1.983333333,0.032777778,2,0,2,2,0.666666667,0.888888889,0,2,10,8,6.7,3.066666667,8,0,0,0,0,0,0,4,14,10,9.35,3.533333333,10,0,1,1,0.016666667,0.032777778,0,0,4,4,1.333333333,1.777777778,0,0,8,8,3.3,3.066666667,0,0,0,0,0,0,0,2,8,6,4.65,2.2,2,10.32,33.285,22.965,22.18308333,8.042158333,10.32,0,0,0,0,0,0,0,0.5953947,0.5953947,0.1984649,0.264619867,0,141,229,88,187.25,30.83333333,141
CuCr0.95Mg0.05O2,1000,6.988,Cu1 Cr0.95 Mg0.05 O2,8,29,21,17.1,9.2275,8,49,87,38,71.9875,15.0125,87,15.9994,63.546,47.5466,36.53908625,20.84553841,15.9994,54.8,2180,2125.2,896.13,841.33,54.8,2,16,14,12.2,3.8,16,2,4,2,2.9875,0.9875,2,66,141,75,100.775,34.775,66,1.31,3.44,2.13,2.605625,0.834375,3.44,1,2,1,1.5125,0.4996875,2,0,4,4,2,2,4,0,10,10,3.6875,3.7796875,0,0,0,0,0,0,0,2,11,9,7.2,1.9,6,0,1,1,0.4875,0.4996875,0,0,2,2,1,1,2,0,5,5,1.1875,1.8109375,0,0,0,0,0,0,0,0,6,6,2.675,1.579375,2,9.105,22.89,13.785,10.26375,1.15875,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,119.0625,107.0625,12
Ba0.8Sr0.2PbO3,700,4.029,Ba0.8 Sr0.2 Pb1 O3,8,82,74,31.68,28.416,8,8,87,79,70.16,24.544,87,15.9994,207.2,191.2006,76.51676,72.620832,15.9994,54.8,1050,995.2,355.002,360.2424,54.8,2,16,14,12.8,4.32,16,2,6,4,3.56,1.872,2,66,215,149,111,54,66,0.89,3.44,2.55,2.7104,0.87552,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2,3.2,0,0,14,14,2.8,4.48,0,2,28,26,9.6,7.36,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,63.59,54.485,23.4286,17.18832,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,97.84,103.008,12
Mg2Si0.997Bi0.003,700,3.53,Mg2 Si0.997 Bi0.003,12,83,71,12.73566667,0.980888889,12,68,86,18,71.34133333,4.455111111,68,24.305,208.9804,184.6754,25.74606157,1.921415422,24.305,544.4,1687,1142.6,1176.524067,339.296337,923,2,15,13,6.001,5.334666667,2,3,6,3,3.003,0.005994,3,111,148,37,131.037,13.317926,141,1.31,2.02,0.71,1.506786667,0.262382222,1.31,2,2,0,2,0,2,0,3,3,0.667666667,0.890222222,0,0,10,10,0.01,0.01998,0,0,14,14,0.014,0.027972,0,2,29,27,2.691666667,0.922222222,2,0,0,0,0,0,0,0,4,4,1.332333333,1.776444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,1.332333333,1.776444444,0,20.44,32.95,12.51,22.08584333,1.093937202,22.89,0,0.773,0.773,0.256893667,0.343038676,0,0,0,0,0,0,0,12,227,215,204.785,14.76557,194
Ca0.9Tb0.1MnO3,400,1.587,Ca0.9 Tb0.1 Mn1 O3,8,65,57,14.7,8.04,8,7,87,80,64.44,27.072,87,15.9994,158.92535,142.92595,30.979796,17.9764752,15.9994,54.8,1629,1574.2,569.96,618.192,54.8,2,16,14,11.42,5.496,16,2,6,4,2.84,1.008,2,66,194,128,102.96,44.352,66,1,3.44,2.44,2.5782,1.03416,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,9,9,0.18,0.3528,0,2,11,9,5.58,1.2888,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,5,5,0.1,0.196,0,0,5,5,2.3,1.188,2,9.105,37.77,28.665,14.99385057,8.869126437,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,94.98,99.576,12
Pb0.97Sr0.02TeNa0.01,400,2.23,Pb0.97 Sr0.02 Te1 Na0.01,11,82,71,66.205,15.32115,52,2,90,88,84.375,5.625,90,22.98976928,207.2,184.2102307,165.2831488,40.65934562,127.6,370.87,1050,679.13,664.9802,65.380196,722.66,1,16,15,14.815,1.185,16,3,6,3,5.475,0.50925,5,138,195,57,142.59,4.59,138,0.93,2.33,1.4,2.1942,0.131726,2.1,1,2,1,1.995,0.00995,2,0,4,4,2.97,1.03,4,0,10,10,9.85,0.2955,10,0,14,14,6.79,6.9937,0,1,28,27,21.605,6.20315,16,0,1,1,0.005,0.00995,0,0,4,4,2.94,1.0282,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2.945,1.02335,2,28.11,54.23,26.12,31.70353333,3.510329333,34.76333333,0,0.464,0.464,0.232,0.232,0.464,0,0,0,0,0,0,152,229,77,188.52,36.52,152
NbCo1.10Sn,1000,6.773,Nb1 Co1.1 Sn1,27,50,23,38.93548387,8.470343392,27,47,80,33,61.5483871,11.90426639,58,58.933195,118.71,59.776805,89.17512726,21.46201644,58.933195,505.08,2750,2244.92,1677.380645,756.3229969,1768,5,14,9,9.322580645,3.017689906,9,4,5,1,4.64516129,0.4578564,4,126,164,38,142.4516129,13.90218522,126,1.6,1.96,0.36,1.815483871,0.139021852,1.88,1,2,1,1.677419355,0.437044745,2,0,2,2,0.64516129,0.87408949,0,4,10,6,7,1.935483871,7,0,0,0,0,0,0,5,14,9,9.322580645,3.017689906,9,0,1,1,0.322580645,0.437044745,0,0,4,4,1.290322581,1.74817898,0,0,6,6,3,1.935483871,3,0,0,0,0,0,0,3,7,4,4.612903226,1.540062435,3,10.245,33.285,23.04,20.23693548,8.418106139,10.245,0,0,0,0,0,0,0,1.5484712,1.5484712,0.549457523,0.708977448,1.5484712,141,229,88,188.1935484,30.44745057,194
Mo6Te7S,300,2.773,Mo6 Te7 S1,16,52,36,45.14285714,6.857142857,52,50,90,40,72.71428571,19.46938776,90,32.065,127.6,95.535,107.2160714,20.38392857,127.6,388.36,2896,2507.64,1630.212857,1084.960408,722.66,6,16,10,11.71428571,4.897959184,16,3,5,2,4.857142857,0.265306122,5,105,154,49,142.5,9.857142857,138,2.1,2.58,0.48,2.16,0.06,2.1,1,2,1,1.571428571,0.489795918,2,0,4,4,2.285714286,1.959183673,4,0,10,10,7.142857143,2.857142857,10,0,0,0,0,0,0,6,16,10,11,5,16,0,1,1,0.428571429,0.489795918,0,0,2,2,1.142857143,0.979591837,2,0,5,5,2.142857143,2.448979592,0,0,0,0,0,0,0,2,6,4,3.714285714,1.959183673,2,15.69,34.76333333,19.07333333,25.94787202,8.81546131,34.76333333,0,2.202,2.202,0.389285714,0.333673469,0.464,0,0,0,0,0,0,70,229,159,179.1428571,42.73469388,152
CuCr0.98Mg0.02O2,300,7.558,Cu1 Cr0.98 Mg0.02 O2,8,29,21,17.19,9.2419,8,49,87,38,71.845,15.155,87,15.9994,63.546,47.5466,36.7467695,20.87178719,15.9994,54.8,2180,2125.2,905.5575,850.7575,54.8,2,16,14,12.23,3.77,16,2,4,2,2.995,0.995,2,66,141,75,100.76,34.76,66,1.31,3.44,2.13,2.60825,0.83175,3.44,1,2,1,1.505,0.49995,2,0,4,4,2,2,4,0,10,10,3.725,3.76225,0,0,0,0,0,0,0,2,11,9,7.23,1.885,6,0,1,1,0.495,0.49995,0,0,2,2,1,1,2,0,5,5,1.225,1.84975,0,0,0,0,0,0,0,0,6,6,2.72,1.6072,2,9.105,22.89,13.785,10.176,1.071,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,119.325,107.325,12
Ca3Co4O9,1000,2.837,Ca3 Co4 O9,8,27,19,15,7.875,8,7,87,80,64.75,25.03125,87,15.9994,58.933195,42.933795,31.24758625,17.15420953,15.9994,54.8,1768,1713.2,681.8875,705.4734375,54.8,2,16,14,11.625,4.921875,16,2,4,2,2.875,0.984375,2,66,176,110,101.625,40.078125,66,1,3.44,2.44,2.5925,0.9534375,3.44,2,2,0,2,0,2,0,4,4,2.25,1.96875,4,0,7,7,1.75,2.625,0,0,0,0,0,0,0,2,9,7,6,1.5,6,0,0,0,0,0,0,0,2,2,1.125,0.984375,2,0,3,3,0.75,1.125,0,0,0,0,0,0,0,0,3,3,1.875,0.703125,2,9.105,37.77,28.665,14.7646875,8.626992188,9.105,0,0,0,0,0,0,0,1.5484712,1.5484712,0.3871178,0.5806767,0,12,225,213,97.4375,96.1171875,12
Cu4.0Mo6S8,300,1.348,Cu4 Mo6 S8,16,42,26,27.55555556,10.27160494,16,50,88,38,70,16,88,32.065,95.96,63.895,60.35911111,25.15032099,32.065,388.36,2896,2507.64,1439.664444,970.8903704,388.36,6,16,10,11.55555556,3.950617284,16,3,5,2,3.888888889,0.790123457,3,105,154,49,127.3333333,19.85185185,105,1.9,2.58,0.68,2.288888889,0.258765432,2.58,1,2,1,1.444444444,0.49382716,2,0,4,4,1.777777778,1.975308642,4,0,10,10,3.888888889,3.456790123,0,0,0,0,0,0,0,6,11,5,7.111111111,1.728395062,6,0,1,1,0.555555556,0.49382716,0,0,2,2,0.888888889,0.987654321,2,0,5,5,1.666666667,2.222222222,0,0,0,0,0,0,0,1,6,5,3.111111111,1.925925926,2,11.07,25.786875,14.716875,19.15083333,5.898703704,25.786875,0,2.202,2.202,0.978666667,1.087407407,2.202,0,0,0,0,0,0,70,229,159,157.4444444,77.72839506,70
CaMn0.96Ru0.04O3,700,3.24,Ca1 Mn0.96 Ru0.04 O3,8,44,36,13.952,7.1424,8,7,87,80,64.032,27.5616,87,15.9994,101.07,85.0706,28.97190464,15.56700557,15.9994,54.8,2607,2552.2,568.384,616.3008,54.8,2,16,14,11.408,5.5104,16,2,5,3,2.808,0.9696,2,66,176,110,102.656,43.9872,66,1,3.44,2.44,2.5792,1.03296,3.44,1,2,1,1.992,0.015872,2,0,4,4,2.4,1.92,4,0,7,7,1.016,1.6256,0,0,0,0,0,0,0,2,8,6,5.408,1.3632,6,0,1,1,0.008,0.015872,0,0,2,2,1.2,0.96,2,0,5,5,0.984,1.5744,0,0,0,0,0,0,0,0,5,5,2.192,1.1072,2,9.105,37.77,28.665,15.13869655,9.052521379,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,5.95E-05,9.62E-05,0,12,225,213,95.416,100.0992,12
CaMnO3,400,3.067,Ca1 Mn1 O3,8,25,17,13.8,6.96,8,7,87,80,64,27.6,87,15.9994,54.938045,38.938645,28.602849,15.1241388,15.9994,54.8,1519,1464.2,559.68,605.856,54.8,2,16,14,11.4,5.52,16,2,4,2,2.8,0.96,2,66,176,110,102.6,43.92,66,1,3.44,2.44,2.574,1.0392,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,0,0,0,0,0,2,7,5,5.4,1.36,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,0,0,0,0,0,0,5,5,2.2,1.12,2,9.105,37.77,28.665,15.11451724,9.062193103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,95.6,100.32,12
Ca0.9Tb0.1MnO3,700,1.756,Ca0.9 Tb0.1 Mn1 O3,8,65,57,14.7,8.04,8,7,87,80,64.44,27.072,87,15.9994,158.92535,142.92595,30.979796,17.9764752,15.9994,54.8,1629,1574.2,569.96,618.192,54.8,2,16,14,11.42,5.496,16,2,6,4,2.84,1.008,2,66,194,128,102.96,44.352,66,1,3.44,2.44,2.5782,1.03416,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,9,9,0.18,0.3528,0,2,11,9,5.58,1.2888,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,5,5,0.1,0.196,0,0,5,5,2.3,1.188,2,9.105,37.77,28.665,14.99385057,8.869126437,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,94.98,99.576,12
Zn4Sb3,400,0.664,Zn4 Sb3,30,51,21,39,10.28571429,30,69,85,16,75.85714286,7.836734694,69,65.38,121.76,56.38,89.54285714,27.61469388,65.38,692.68,903.78,211.1,783.1514286,103.3959184,692.68,12,15,3,13.28571429,1.469387755,12,4,5,1,4.428571429,0.489795918,4,122,139,17,129.2857143,8.326530612,122,1.65,2.05,0.4,1.821428571,0.195918367,1.65,2,2,0,2,0,2,0,3,3,1.285714286,1.469387755,0,10,10,0,10,0,10,0,0,0,0,0,0,12,15,3,13.28571429,1.469387755,12,0,0,0,0,0,0,0,3,3,1.285714286,1.469387755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1.285714286,1.469387755,0,13.96,31.56,17.6,21.50285714,8.620408163,13.96,0,0,0,0,0,0,0,0,0,0,0,0,166,194,28,182,13.71428571,194
Ca2.97Na0.03AlSb3,300,1.67,Ca2.97 Na0.03 Al1 Sb3,11,51,40,32.24714286,16.07387755,51,2,85,83,49.83571429,36.75918367,85,22.98976928,121.76,98.77023072,73.1404131,41.67393163,121.76,370.87,1115,744.13,995.3551571,101.5271952,903.78,1,15,14,9.138571429,6.127346939,15,3,5,2,4.281428571,0.615918367,5,121,176,55,152.2428571,20.27755102,139,0.93,2.05,1.12,1.536842857,0.46075102,2.05,1,2,1,1.995714286,0.008534694,2,0,3,3,1.428571429,1.346938776,3,0,10,10,4.285714286,4.897959184,10,0,0,0,0,0,0,1,15,14,7.71,6.248571429,15,0,1,1,0.004285714,0.008534694,0,0,5,5,2,1.714285714,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2.004285714,1.709387755,3,16.48,37.77,21.29,32.0306,4.870290857,31.56,0,0,0,0,0,0,0,0,0,0,0,0,166,229,63,199.7314286,28.91265306,166
CuCr0.98Mg0.02O2,400,6.709,Cu1 Cr0.98 Mg0.02 O2,8,29,21,17.19,9.2419,8,49,87,38,71.845,15.155,87,15.9994,63.546,47.5466,36.7467695,20.87178719,15.9994,54.8,2180,2125.2,905.5575,850.7575,54.8,2,16,14,12.23,3.77,16,2,4,2,2.995,0.995,2,66,141,75,100.76,34.76,66,1.31,3.44,2.13,2.60825,0.83175,3.44,1,2,1,1.505,0.49995,2,0,4,4,2,2,4,0,10,10,3.725,3.76225,0,0,0,0,0,0,0,2,11,9,7.23,1.885,6,0,1,1,0.495,0.49995,0,0,2,2,1,1,2,0,5,5,1.225,1.84975,0,0,0,0,0,0,0,0,6,6,2.72,1.6072,2,9.105,22.89,13.785,10.176,1.071,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,119.325,107.325,12
Ca0.7Tb0.3MnO3,700,1.462,Ca0.7 Tb0.3 Mn1 O3,8,65,57,16.5,10.2,8,7,87,80,65.32,26.016,87,15.9994,158.92535,142.92595,35.73369,23.681148,15.9994,54.8,1629,1574.2,590.52,642.864,54.8,2,16,14,11.46,5.448,16,2,6,4,2.92,1.104,2,66,194,128,103.68,45.216,66,1,3.44,2.44,2.5866,1.02408,3.44,2,2,0,2,0,2,0,4,4,2.4,1.92,4,0,5,5,1,1.6,0,0,9,9,0.54,1.0152,0,2,11,9,5.94,1.1032,6,0,0,0,0,0,0,0,2,2,1.2,0.96,2,0,5,5,1,1.6,0,0,5,5,0.3,0.564,0,0,5,5,2.5,1.3,2,9.105,37.77,28.665,14.75251724,8.482993103,9.105,0,0,0,0,0,0,0,0.000310121,0.000310121,6.20E-05,9.92E-05,0,12,225,213,93.74,98.088,12
Zn0.95Al0.05O,400,20.25,Zn0.95 Al0.05 O1,8,30,22,18.575,10.85375,8,69,87,18,78.1,8.9,87,15.9994,65.38,49.3806,39.72973847,24.36774846,15.9994,54.8,933.47,878.67,379.75975,324.95975,54.8,12,16,4,14.025,1.975,16,2,4,2,2.975,0.975,2,66,122,56,93.975,27.975,66,1.61,3.44,1.83,2.544,0.896,3.44,2,2,0,2,0,2,0,4,4,2.025,1.975,4,0,10,10,4.75,4.9875,0,0,0,0,0,0,0,3,12,9,8.775,3.06375,6,0,0,0,0,0,0,0,5,5,1.125,1.06875,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1.125,1.06875,2,9.105,16.48,7.375,11.5955,2.4905,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,225,213,103.775,91.775,12
Ba0.4Sr0.6PbO3,700,1.983,Ba0.4 Sr0.6 Pb1 O3,8,82,74,30.24,26.688,8,8,87,79,70.08,24.672,87,15.9994,207.2,191.2006,72.5402,67.84896,15.9994,54.8,1050,995.2,359.002,365.0424,54.8,2,16,14,12.8,4.32,16,2,6,4,3.48,1.776,2,66,215,149,109.4,52.08,66,0.89,3.44,2.55,2.7152,0.86976,3.44,2,2,0,2,0,2,0,4,4,2.8,1.44,4,0,10,10,2,3.2,0,0,14,14,2.8,4.48,0,2,28,26,9.6,7.36,6,0,0,0,0,0,0,0,4,4,2,0.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2,0.8,2,9.105,63.59,54.485,22.6798,16.28976,9.105,0,0,0,0,0,0,0,0,0,0,0,0,12,229,217,97.52,102.624,12
Fe1.3Mo6S8,300,1.489,Fe1.3 Mo6 S8,16,42,26,27.04575163,11.72882225,16,50,88,38,70.29411765,18.5159554,88,32.065,95.96,63.895,59.14238562,28.8765603,32.065,388.36,2896,2507.64,1492.626144,1154.788124,388.36,6,16,10,11.39869281,4.811824512,16,3,5,2,3.869281046,0.909052074,3,105,154,49,126.5098039,22.4939126,105,1.83,2.58,0.75,2.351568627,0.238882481,2.58,1,2,1,1.607843137,0.476739715,2,0,4,4,2.091503268,1.995813576,4,0,6,6,2.470588235,2.583621684,0,0,0,0,0,0,0,6,8,2,6.169934641,0.310991499,6,0,1,1,0.392156863,0.476739715,0,0,2,2,1.045751634,0.997906788,2,0,5,5,2.300653595,2.405912256,0,0,0,0,0,0,0,2,6,4,3.738562092,1.818104148,2,10.73,25.786875,15.056875,20.54797386,5.478589431,25.786875,0,2.202,2.202,1.151372549,1.098695374,2.202,0,2.1106628,2.1106628,0.179337362,0.328199094,0,70,229,159,145.8627451,79.33358965,70
Ca5Al2Sb6,300,1.54,Ca5 Al2 Sb6,13,51,38,33.23076923,16.40236686,51,7,85,78,53.15384615,35.50295858,85,26.9815386,121.76,94.7784614,75.7625444,42.45918978,121.76,903.78,1115,211.22,989.5861538,96.47218935,903.78,2,15,13,9.692307692,5.917159763,15,3,5,2,4.307692308,0.639053254,5,121,176,55,150.4615385,19.64497041,139,1,2.05,1.05,1.578461538,0.444970414,2.05,2,2,0,2,0,2,0,3,3,1.538461538,1.349112426,3,0,10,10,4.615384615,4.970414201,10,0,0,0,0,0,0,2,15,13,8.153846154,6.319526627,15,0,0,0,0,0,0,0,5,5,2.153846154,1.656804734,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2.153846154,1.656804734,3,16.48,37.77,21.29,31.62846154,4.724260355,31.56,0,0,0,0,0,0,0,0,0,0,0,0,166,225,59,197.7692308,29.32544379,166
La3Te3.35Bi0.65,400,1.83,La3 Te3.35 Bi0.65,52,83,31,57.02142857,4.824591837,52,13,90,77,56.62857143,37.39591837,90,127.6,208.9804,81.3804,140.0019529,12.81028304,127.6,544.4,1193,648.6,907.6815714,244.5586531,722.66,3,16,13,10.33571429,6.287755102,16,5,6,1,5.521428571,0.499081633,5,138,207,69,168.5,33,138,1.1,2.1,1,1.664,0.483428571,2.1,2,2,0,2,0,2,0,4,4,2.192857143,1.879591837,4,1,10,9,6.142857143,4.408163265,10,0,14,14,1.3,2.358571429,0,3,29,26,11.63571429,7.402040816,16,0,0,0,0,0,0,0,3,3,1.235714286,1.059183673,2,0,9,9,3.857142857,4.408163265,0,0,0,0,0,0,0,2,9,7,5.092857143,3.348979592,2,32.95,36.8975,3.9475,35.50959524,1.189632653,34.76333333,0,0.464,0.464,0.222057143,0.231573878,0.464,0,0,0,0,0,0,12,194,182,157,31.71428571,152
